iter	Logloss
0	0.6920687614
1	0.6908523939
2	0.6896137991
3	0.688638959
4	0.6878218342
5	0.6867856118
6	0.6856152107
7	0.6842424012
8	0.683028704
9	0.6821733464
10	0.6811421273
11	0.6797826503
12	0.6781578302
13	0.6774580263
14	0.6764343936
15	0.6757629636
16	0.6746094403
17	0.6734010067
18	0.6724662029
19	0.6716909525
20	0.6706498025
21	0.6699492406
22	0.6688605566
23	0.6682518821
24	0.6675394076
25	0.6662927299
26	0.6654519264
27	0.6647400222
28	0.663917397
29	0.6632740013
30	0.6626060808
31	0.6617225967
32	0.6606712901
33	0.6601916974
34	0.6596763597
35	0.6591798289
36	0.6587448381
37	0.6575805481
38	0.6568754115
39	0.6559274921
40	0.6550197447
41	0.6544103056
42	0.6538470241
43	0.6532335691
44	0.6525061489
45	0.6516675371
46	0.6511385299
47	0.6508405782
48	0.6497924469
49	0.6489805142
50	0.6485628664
51	0.6481951484
52	0.6475328451
53	0.646677248
54	0.6460057932
55	0.6454939851
56	0.6445448667
57	0.6434558041
58	0.6428683171
59	0.6423112541
60	0.641853088
61	0.6406927139
62	0.6395455216
63	0.6384635841
64	0.6383198598
65	0.6377516675
66	0.637065545
67	0.6365852547
68	0.6359746967
69	0.6351944194
70	0.6344254719
71	0.6338444283
72	0.6334423825
73	0.6329724562
74	0.6317810884
75	0.6310271364
76	0.6300952318
77	0.6294507939
78	0.6289733873
79	0.6286965463
80	0.6279386037
81	0.6270073737
82	0.6264087789
83	0.6258181098
84	0.6247709499
85	0.6242568664
86	0.6233849074
87	0.6229017578
88	0.6222849458
89	0.6219953674
90	0.6217744694
91	0.6212239476
92	0.6207961687
93	0.6200977462
94	0.6195238531
95	0.6186006715
96	0.6179127212
97	0.6170415055
98	0.6164135816
99	0.6158942152
100	0.615292923
101	0.6145561501
102	0.614022422
103	0.6134533451
104	0.6130293849
105	0.612485796
106	0.6121917101
107	0.6116966325
108	0.611029391
109	0.6106946005
110	0.6100834817
111	0.6096995121
112	0.608882564
113	0.6085690193
114	0.6080154299
115	0.6075581567
116	0.607070093
117	0.6068802317
118	0.6064512485
119	0.6056422497
120	0.6053292681
121	0.6049617034
122	0.6047084171
123	0.6037810958
124	0.6031174098
125	0.6024399827
126	0.6020066422
127	0.6014542036
128	0.6010114899
129	0.6006556552
130	0.60038051
131	0.6001592719
132	0.5997233201
133	0.599328114
134	0.5986335296
135	0.597856516
136	0.5975905227
137	0.5968674544
138	0.5960928034
139	0.5954283546
140	0.5950922583
141	0.5949468756
142	0.5947176574
143	0.5944143968
144	0.5941125156
145	0.5939010636
146	0.5928506124
147	0.5922835143
148	0.5918551605
149	0.5914153976
150	0.5908118312
151	0.5905180478
152	0.5903264227
153	0.5897678464
154	0.5893061447
155	0.5888869144
156	0.5882684403
157	0.5878133398
158	0.587559642
159	0.5872083671
160	0.5864537067
161	0.5863316219
162	0.5860693373
163	0.5856489395
164	0.5850911226
165	0.584412822
166	0.584151957
167	0.5835763583
168	0.5831313729
169	0.582750538
170	0.5826047535
171	0.5825386267
172	0.5821233407
173	0.5820190621
174	0.5816170598
175	0.5813140232
176	0.5809777662
177	0.5806532795
178	0.5800036807
179	0.5796120757
180	0.5789124338
181	0.5786255778
182	0.5782215086
183	0.5780618694
184	0.577606619
185	0.5772986202
186	0.5769250982
187	0.5767997691
188	0.5765596098
189	0.5760643667
190	0.5754192912
191	0.5751875989
192	0.5747369329
193	0.5742911285
194	0.5740956607
195	0.5735529385
196	0.5728861121
197	0.5725711155
198	0.5720092774
199	0.5715161806
200	0.5710510982
201	0.5704985821
202	0.5703575617
203	0.5701382036
204	0.5693542972
205	0.5686105131
206	0.5682398533
207	0.5677260967
208	0.5675957703
209	0.5674193025
210	0.5667654425
211	0.5662016974
212	0.5658375186
213	0.5654073132
214	0.5650042777
215	0.5644127169
216	0.5641220592
217	0.5638357038
218	0.5633513987
219	0.5632585283
220	0.5630525108
221	0.5620008947
222	0.5618331141
223	0.5612924699
224	0.5609273209
225	0.5603724957
226	0.5599051452
227	0.5596975443
228	0.5594621984
229	0.5591769915
230	0.5588657915
231	0.5585638732
232	0.5581329149
233	0.5580139409
234	0.5576517109
235	0.5573543765
236	0.55687776
237	0.5565280601
238	0.5561920809
239	0.5559013324
240	0.5554769961
241	0.5552192192
242	0.5549021609
243	0.5544097171
244	0.5542351849
245	0.5540893977
246	0.5539206861
247	0.5536206706
248	0.5531131608
249	0.5528493907
250	0.5522009583
251	0.5517953847
252	0.551480582
253	0.5508079835
254	0.550546443
255	0.5501483559
256	0.5496009072
257	0.5493627141
258	0.5488759761
259	0.5485712157
260	0.54827826
261	0.5481000118
262	0.5475900555
263	0.5473545029
264	0.5468874731
265	0.5465029844
266	0.5459077483
267	0.5455229035
268	0.545103066
269	0.544822613
270	0.5446511288
271	0.5442163387
272	0.5435064152
273	0.5432164337
274	0.5431303352
275	0.542365489
276	0.5421362794
277	0.5419033286
278	0.5413973199
279	0.5410752519
280	0.5408371222
281	0.5403553806
282	0.5400450108
283	0.5397617655
284	0.5391404151
285	0.5387791381
286	0.5384156877
287	0.5381007462
288	0.5373297592
289	0.5366136773
290	0.5364876668
291	0.536186201
292	0.5357077026
293	0.5353956061
294	0.53514477
295	0.5346336109
296	0.5342757758
297	0.5339099406
298	0.5334251603
299	0.5331221041
300	0.5327300416
301	0.532232886
302	0.5319485278
303	0.5318259294
304	0.5314232668
305	0.5312281651
306	0.5310453201
307	0.5308785234
308	0.530731408
309	0.5303780761
310	0.5299406912
311	0.5297933365
312	0.5294515117
313	0.5291761236
314	0.5287106044
315	0.5283452255
316	0.5278866681
317	0.5275643099
318	0.5272555007
319	0.5269209071
320	0.5267927425
321	0.5265399924
322	0.5259218163
323	0.5257863129
324	0.5255297798
325	0.525398348
326	0.5248647575
327	0.5247094049
328	0.5244397268
329	0.5240718009
330	0.5238382109
331	0.5235066101
332	0.5232746711
333	0.5230763104
334	0.5226243064
335	0.5221482858
336	0.5218341509
337	0.5214841946
338	0.5210068778
339	0.5206787558
340	0.5200971672
341	0.5197707226
342	0.5193723956
