iter	Passed	Remaining
0	4	1603
1	7	1233
2	9	1104
3	12	1046
4	14	1004
5	17	973
6	19	952
7	22	932
8	24	923
9	27	912
10	29	904
11	32	895
12	34	886
13	37	883
14	40	884
15	43	881
16	45	878
17	48	874
18	51	871
19	53	868
20	56	870
21	59	867
22	62	864
23	64	860
24	67	856
25	70	853
26	72	852
27	75	848
28	78	844
29	80	841
30	83	838
31	85	835
32	88	831
33	91	827
34	93	825
35	96	821
36	98	818
37	101	815
38	104	811
39	106	807
40	109	804
41	111	802
42	114	800
43	117	797
44	120	794
45	122	791
46	125	788
47	127	785
48	130	783
49	133	781
50	135	777
51	138	775
52	141	773
53	144	770
54	146	768
55	149	765
56	152	763
57	154	760
58	157	757
59	159	754
60	162	751
61	165	749
62	167	745
63	170	743
64	172	738
65	175	735
66	177	733
67	180	730
68	183	728
69	186	725
70	188	723
71	191	720
72	194	718
73	196	715
74	199	713
75	202	711
76	205	708
77	207	706
78	210	703
79	213	701
80	215	698
81	218	696
82	221	693
83	223	690
84	226	687
85	229	684
86	231	682
87	234	679
88	237	677
89	239	674
90	242	671
91	245	668
92	247	666
93	250	663
94	253	660
95	255	657
96	258	655
97	261	652
98	263	650
99	266	647
100	269	645
101	271	642
102	274	639
103	277	637
104	279	634
105	282	631
106	285	629
107	287	626
108	290	623
109	293	621
110	295	618
111	298	616
112	301	613
113	304	610
114	306	608
115	309	605
116	312	603
117	314	600
118	317	597
119	320	595
120	323	592
121	325	590
122	328	587
123	331	585
124	333	582
125	336	579
126	339	576
127	341	574
128	344	571
129	347	569
130	350	566
131	352	564
132	355	561
133	358	559
134	361	556
135	364	554
136	367	552
137	369	549
138	372	547
139	375	544
140	378	541
141	380	539
142	383	536
143	386	534
144	389	531
145	391	528
146	394	526
147	397	523
148	400	520
149	402	518
150	405	515
151	407	512
152	410	509
153	413	507
154	416	504
155	418	501
156	421	499
157	424	496
158	427	494
159	429	491
160	432	489
161	435	486
162	438	483
163	440	481
164	443	478
165	446	475
166	449	473
167	451	470
168	454	468
169	457	465
170	460	463
171	463	460
172	465	457
173	468	455
174	471	452
175	474	449
176	476	447
177	479	444
178	482	441
179	485	439
180	487	436
181	490	433
182	493	431
183	496	428
184	498	425
185	501	423
186	504	420
187	507	418
188	509	415
189	512	412
190	515	410
191	518	407
192	521	404
193	523	402
194	526	399
195	529	396
196	531	394
197	534	391
198	537	388
199	540	386
200	542	383
201	545	380
202	548	378
203	551	375
204	553	372
205	556	370
206	559	367
207	562	364
208	565	362
209	567	359
210	570	356
211	573	354
212	576	351
213	578	348
214	581	346
215	584	343
216	587	340
217	589	338
218	592	335
219	595	332
220	598	330
221	601	327
222	603	325
223	606	322
224	609	319
225	612	316
226	614	314
227	617	311
228	620	308
229	623	306
230	625	303
231	628	300
232	631	298
233	633	295
234	636	292
235	639	289
236	642	287
237	645	284
238	647	281
239	650	279
240	653	276
241	656	273
242	658	271
243	661	268
244	664	265
245	667	263
246	669	260
247	672	257
248	675	255
249	678	252
250	681	249
251	683	246
252	686	244
253	689	241
254	692	238
255	695	236
256	697	233
257	700	230
258	703	228
259	706	225
260	709	222
261	711	220
262	714	217
263	717	214
264	720	212
265	723	209
266	725	206
267	728	203
268	731	201
269	734	198
270	737	195
271	740	193
272	743	190
273	746	187
274	749	185
275	751	182
276	754	179
277	757	177
278	760	174
279	763	171
280	766	169
281	769	166
282	772	163
283	775	161
284	777	158
285	780	155
286	783	152
287	786	150
288	789	147
289	791	144
290	794	142
291	797	139
292	800	136
293	802	133
294	805	131
295	808	128
296	811	125
297	814	122
298	816	120
299	819	117
300	822	114
301	825	112
302	828	109
303	830	106
304	833	103
305	836	101
306	839	98
307	842	95
308	845	92
309	847	90
310	850	87
311	853	84
312	856	82
313	859	79
314	861	76
315	864	73
316	867	71
317	870	68
318	873	65
319	875	62
320	878	60
321	881	57
322	884	54
323	887	52
324	890	49
325	892	46
326	895	43
327	898	41
328	901	38
329	903	35
330	906	32
331	909	30
332	912	27
333	915	24
334	918	21
335	921	19
336	923	16
337	926	13
338	929	10
339	932	8
340	935	5
341	937	2
342	940	0
